"","xlocal","clocal","xnonlocal","cnonlocal"
"1",-0.2679,-0.0222,-0.0379,0.0162
"2",-0.443,-0.0272,-0.0648,0.0216
"3",-0.443,-0.0272,-0.0648,0.0216
"4",-0.7206,-0.0328,-0.1033,0.0269
"5",-0.1022,-0.0141,-0.0145,0.0077
"6",-0.7083,-0.0326,-0.1023,0.0268
"7",-0.9939,-0.0368,-0.1415,0.0307
"8",-0.1498,-0.0172,-0.0219,0.0102
"9",-0.9939,-0.0368,-0.1415,0.0307
"10",-0.1498,-0.0172,-0.0219,0.0102
"11",-1.2679,-0.0398,-0.1798,0.0337
"12",-0.2388,-0.0212,-0.0339,0.014
"13",-0.2417,-0.0213,-0.0343,0.0141
"14",-1.2686,-0.0398,-0.1799,0.0337
"15",-0.1989,-0.0197,-0.0295,0.0123
"16",-1.5426,-0.0424,-0.2181,0.0362
"17",-0.2997,-0.0233,-0.0447,0.0163
"18",-0.3011,-0.0234,-0.0448,0.0163
"19",-0.2981,-0.0233,-0.0445,0.0162
"20",-1.5416,-0.0424,-0.2181,0.0362
"21",-0.2446,-0.0216,-0.0368,0.0141
"22",-1.8162,-0.0445,-0.2564,0.0383
"23",-0.3562,-0.025,-0.0553,0.0182
"24",-0.3562,-0.025,-0.0553,0.0182
"25",-0.3562,-0.025,-0.0553,0.0182
"26",-0.3562,-0.025,-0.0553,0.0182
"27",-1.8157,-0.0445,-0.2565,0.0383
"28",-0.2889,-0.0232,-0.0433,0.0155
"29",-2.0894,-0.0464,-0.2947,0.0402
"30",-0.4184,-0.0267,-0.0652,0.0198
"31",-0.4126,-0.0266,-0.0647,0.0197
"32",-0.4179,-0.0267,-0.0651,0.0198
"33",-0.4053,-0.0264,-0.0641,0.0197
"34",-2.0878,-0.0464,-0.2947,0.0402
"35",-0.4068,-0.0265,-0.0596,0.0192
"36",-0.4082,-0.0265,-0.0597,0.0192
"37",-2.3621,-0.0481,-0.333,0.0419
"38",-0.4633,-0.0278,-0.0737,0.0211
"39",-0.4777,-0.0282,-0.0744,0.0212
"40",-0.4653,-0.0278,-0.0735,0.0211
"41",-0.4693,-0.0279,-0.0742,0.0211
"42",-2.3573,-0.0481,-0.3327,0.0419
"43",-0.4663,-0.0279,-0.0714,0.0209
"44",-0.4686,-0.0279,-0.0718,0.0209
"45",-0.4641,-0.0278,-0.0719,0.0208
"46",-2.6363,-0.0496,-0.3714,0.0434
"47",-0.5228,-0.0291,-0.0828,0.0223
"48",-0.5228,-0.0291,-0.0828,0.0223
"49",-0.5228,-0.0291,-0.0828,0.0223
"50",-0.5228,-0.0291,-0.0828,0.0223
"51",-2.6363,-0.0496,-0.3714,0.0434
"52",-0.5228,-0.0291,-0.0828,0.0223
"53",-0.5228,-0.0291,-0.0828,0.0223
"54",-0.5228,-0.0291,-0.0828,0.0223
"55",-0.5228,-0.0291,-0.0828,0.0223
"56",-2.9055,-0.0509,-0.4087,0.0447
"57",-0.6183,-0.0311,-0.0978,0.0241
"58",-0.6183,-0.0311,-0.0978,0.0241
"59",-0.6184,-0.0311,-0.0978,0.0241
"60",-0.6183,-0.0311,-0.0978,0.0241
"61",-0.0949,-0.0136,-0.014,0.0075
"62",-2.903,-0.0509,-0.4085,0.0447
"63",-0.6177,-0.0311,-0.0978,0.0241
"64",-0.6177,-0.0311,-0.0978,0.0241
"65",-0.6177,-0.0311,-0.0978,0.0241
"66",-0.6177,-0.0311,-0.0978,0.0241
"67",-3.1818,-0.0522,-0.4473,0.046
"68",-0.7132,-0.0328,-0.112,0.0256
"69",-0.7137,-0.0328,-0.1118,0.0256
"70",-0.7143,-0.0328,-0.1116,0.0256
"71",-0.7111,-0.0328,-0.1139,0.0257
"72",-0.1231,-0.0156,-0.0187,0.0091
"73",-3.1829,-0.0522,-0.4473,0.046
