xlocal  clocal  xnonlocal  cnonlocal 
-0.2679 -0.0222 -0.0379 0.0162
-0.4430 -0.0272 -0.0648 0.0216
-0.4430 -0.0272 -0.0648 0.0216
-0.7206 -0.0328 -0.1033 0.0269
-0.1022 -0.0141 -0.0145 0.0077
-0.7083 -0.0326 -0.1023 0.0268
-0.9939 -0.0368 -0.1415 0.0307
-0.1498 -0.0172 -0.0219 0.0102
-0.9939 -0.0368 -0.1415 0.0307
-0.1498 -0.0172 -0.0219 0.0102
-1.2679 -0.0398 -0.1798 0.0337
-0.2388 -0.0212 -0.0339 0.0140
-0.2417 -0.0213 -0.0343 0.0141
-1.2686 -0.0398 -0.1799 0.0337
-0.1989 -0.0197 -0.0295 0.0123
-1.5426 -0.0424 -0.2181 0.0362
-0.2997 -0.0233 -0.0447 0.0163
-0.3011 -0.0234 -0.0448 0.0163
-0.2981 -0.0233 -0.0445 0.0162
-1.5416 -0.0424 -0.2181 0.0362
-0.2446 -0.0216 -0.0368 0.0141
-1.8162 -0.0445 -0.2564 0.0383
-0.3562 -0.0250 -0.0553 0.0182
-0.3562 -0.0250 -0.0553 0.0182
-0.3562 -0.0250 -0.0553 0.0182
-0.3562 -0.0250 -0.0553 0.0182
-1.8157 -0.0445 -0.2565 0.0383
-0.2889 -0.0232 -0.0433 0.0155
-2.0894 -0.0464 -0.2947 0.0402
-0.4184 -0.0267 -0.0652 0.0198
-0.4126 -0.0266 -0.0647 0.0197
-0.4179 -0.0267 -0.0651 0.0198
-0.4053 -0.0264 -0.0641 0.0197
-2.0878 -0.0464 -0.2947 0.0402
-0.4068 -0.0265 -0.0596 0.0192
-0.4082 -0.0265 -0.0597 0.0192
-2.3621 -0.0481 -0.3330 0.0419
-0.4633 -0.0278 -0.0737 0.0211
-0.4777 -0.0282 -0.0744 0.0212
-0.4653 -0.0278 -0.0735 0.0211
-0.4693 -0.0279 -0.0742 0.0211
-2.3573 -0.0481 -0.3327 0.0419
-0.4663 -0.0279 -0.0714 0.0209
-0.4686 -0.0279 -0.0718 0.0209
-0.4641 -0.0278 -0.0719 0.0208
-2.6363 -0.0496 -0.3714 0.0434
-0.5228 -0.0291 -0.0828 0.0223
-0.5228 -0.0291 -0.0828 0.0223
-0.5228 -0.0291 -0.0828 0.0223
-0.5228 -0.0291 -0.0828 0.0223
-2.6363 -0.0496 -0.3714 0.0434
-0.5228 -0.0291 -0.0828 0.0223
-0.5228 -0.0291 -0.0828 0.0223
-0.5228 -0.0291 -0.0828 0.0223
-0.5228 -0.0291 -0.0828 0.0223
