"","lx","lc","nlx","nlc","Ec_m"
"1",-0.2679,-0.0222,-0.0379,0.0162,-0.3124
"2",-0.443,-0.0272,-0.0648,0.0216,-0.5141
"3",-0.443,-0.0272,-0.0648,0.0216,-0.5141
"4",-0.7199,-0.0328,-0.1033,0.0269,-0.8371
"5",-0.1022,-0.0141,-0.0146,0.0077,-0.1182
"6",-0.7083,-0.0326,-0.1023,0.0268,-0.8235
"7",-0.993,-0.0368,-0.1414,0.0307,-1.1553
"8",-0.1498,-0.0172,-0.0221,0.0102,-0.1732
"9",-0.993,-0.0368,-0.1414,0.0307,-1.1553
"10",-0.1498,-0.0172,-0.0221,0.0102,-0.1732
"11",-1.2635,-0.0398,-0.1795,0.0337,-1.4701
"12",-0.2384,-0.0212,-0.0347,0.014,-0.274
"13",-0.2419,-0.0213,-0.0342,0.0141,-0.2784
"14",-1.267,-0.0398,-0.1798,0.0337,-1.4746
"15",-0.1989,-0.0197,-0.0298,0.0124,-0.2297
"16",-1.538,-0.0423,-0.2178,0.0362,-1.7896
"17",-0.2997,-0.0233,-0.0448,0.0163,-0.3422
"18",-0.3014,-0.0234,-0.0446,0.0163,-0.3443
"19",-0.2975,-0.0233,-0.0454,0.0163,-0.3391
"20",-1.5404,-0.0424,-0.2181,0.0362,-1.7931
"21",-0.2446,-0.0216,-0.037,0.0141,-0.2827
"22",-1.8162,-0.0445,-0.2564,0.0383,-2.1132
"23",-0.3562,-0.025,-0.0553,0.0182,-0.4029
"24",-0.3562,-0.025,-0.0553,0.0182,-0.4028
"25",-0.3562,-0.025,-0.0553,0.0182,-0.4028
"26",-0.3562,-0.025,-0.0553,0.0182,-0.4028
"27",-1.8129,-0.0445,-0.2563,0.0384,-2.1105
"28",-0.2888,-0.0232,-0.044,0.0155,-0.3339
"29",-2.0893,-0.0464,-0.2947,0.0402,-2.4314
"30",-0.4183,-0.0267,-0.0652,0.0198,-0.473
"31",-0.4126,-0.0266,-0.0647,0.0197,-0.4659
"32",-0.4177,-0.0267,-0.0652,0.0198,-0.4723
"33",-0.4056,-0.0264,-0.0641,0.0197,-0.4571
"34",-2.0836,-0.0464,-0.2943,0.0402,-2.4262
"35",-0.4063,-0.0265,-0.0604,0.0192,-0.4657
"36",-0.4081,-0.0265,-0.0597,0.0192,-0.4684
"37",-2.3629,-0.0481,-0.3331,0.0419,-2.7497
"38",-0.4633,-0.0278,-0.0735,0.0211,-0.5217
"39",-0.4772,-0.0282,-0.0746,0.0212,-0.5396
"40",-0.4662,-0.0279,-0.0734,0.0211,-0.5262
"41",-0.4688,-0.0279,-0.0741,0.0211,-0.5283
"42",-2.3554,-0.048,-0.3326,0.0419,-2.7402
"43",-0.466,-0.0279,-0.0716,0.0209,-0.53
"44",-0.4708,-0.028,-0.0709,0.0209,-0.5362
"45",-0.4635,-0.0278,-0.0725,0.0209,-0.526
"46",-2.6363,-0.0496,-0.3714,0.0434,-3.068
"47",-0.5228,-0.0291,-0.0828,0.0223,-0.5893
"48",-0.5228,-0.0291,-0.0828,0.0223,-0.5893
"49",-0.5228,-0.0291,-0.0828,0.0223,-0.5893
"50",-0.5228,-0.0291,-0.0828,0.0223,-0.5893
"51",-2.6363,-0.0496,-0.3714,0.0434,-3.068
"52",-0.5228,-0.0291,-0.0828,0.0223,-0.5893
"53",-0.5228,-0.0291,-0.0828,0.0223,-0.5893
"54",-0.5228,-0.0291,-0.0828,0.0223,-0.5893
"55",-0.5228,-0.0291,-0.0828,0.0223,-0.5893
"56",-2.9055,-0.0509,-0.4087,0.0447,-3.3813
"57",-0.6184,-0.0311,-0.0978,0.0241,-0.6975
"58",-0.6183,-0.0311,-0.0978,0.0241,-0.6975
"59",-0.6183,-0.0311,-0.0978,0.0241,-0.6975
"60",-0.6183,-0.0311,-0.0978,0.0241,-0.6974
"61",-0.0949,-0.0136,-0.014,0.0075,-0.1094
"62",-2.903,-0.0509,-0.4085,0.0447,-3.3785
"63",-0.6177,-0.0311,-0.0978,0.0241,-0.6969
