  lx     lc     nlx     nlc     Ec_m 
-0.2679 -0.0222 -0.0379 0.0162 -0.3124
-0.4430 -0.0272 -0.0648 0.0216 -0.5141
-0.4430 -0.0272 -0.0648 0.0216 -0.5141
-0.7199 -0.0328 -0.1033 0.0269 -0.8371
-0.1022 -0.0141 -0.0146 0.0077 -0.1182
-0.7083 -0.0326 -0.1023 0.0268 -0.8235
-0.9930 -0.0368 -0.1414 0.0307 -1.1553
-0.1498 -0.0172 -0.0221 0.0102 -0.1732
-0.9930 -0.0368 -0.1414 0.0307 -1.1553
-0.1498 -0.0172 -0.0221 0.0102 -0.1732
-1.2635 -0.0398 -0.1795 0.0337 -1.4701
-0.2384 -0.0212 -0.0347 0.0140 -0.2740
-0.2419 -0.0213 -0.0342 0.0141 -0.2784
-1.2670 -0.0398 -0.1798 0.0337 -1.4746
-0.1989 -0.0197 -0.0298 0.0124 -0.2297
-1.5380 -0.0423 -0.2178 0.0362 -1.7896
-0.2997 -0.0233 -0.0448 0.0163 -0.3422
-0.3014 -0.0234 -0.0446 0.0163 -0.3443
-0.2975 -0.0233 -0.0454 0.0163 -0.3391
-1.5404 -0.0424 -0.2181 0.0362 -1.7931
-0.2446 -0.0216 -0.0370 0.0141 -0.2827
-1.8162 -0.0445 -0.2564 0.0383 -2.1132
-0.3562 -0.0250 -0.0553 0.0182 -0.4029
-0.3562 -0.0250 -0.0553 0.0182 -0.4028
-0.3562 -0.0250 -0.0553 0.0182 -0.4028
-0.3562 -0.0250 -0.0553 0.0182 -0.4028
-1.8129 -0.0445 -0.2563 0.0384 -2.1105
-0.2888 -0.0232 -0.0440 0.0155 -0.3339
-2.0893 -0.0464 -0.2947 0.0402 -2.4314
-0.4183 -0.0267 -0.0652 0.0198 -0.4730
-0.4126 -0.0266 -0.0647 0.0197 -0.4659
-0.4177 -0.0267 -0.0652 0.0198 -0.4723
-0.4056 -0.0264 -0.0641 0.0197 -0.4571
-2.0836 -0.0464 -0.2943 0.0402 -2.4262
-0.4063 -0.0265 -0.0604 0.0192 -0.4657
-0.4081 -0.0265 -0.0597 0.0192 -0.4684
-2.3629 -0.0481 -0.3331 0.0419 -2.7497
-0.4633 -0.0278 -0.0735 0.0211 -0.5217
-0.4772 -0.0282 -0.0746 0.0212 -0.5396
-0.4662 -0.0279 -0.0734 0.0211 -0.5262
-0.4688 -0.0279 -0.0741 0.0211 -0.5283
-2.3554 -0.0480 -0.3326 0.0419 -2.7402
-0.4660 -0.0279 -0.0716 0.0209 -0.5300
-0.4708 -0.0280 -0.0709 0.0209 -0.5362
-0.4635 -0.0278 -0.0725 0.0209 -0.5260
-2.6363 -0.0496 -0.3714 0.0434 -3.0680
-0.5228 -0.0291 -0.0828 0.0223 -0.5893
-0.5228 -0.0291 -0.0828 0.0223 -0.5893
-0.5228 -0.0291 -0.0828 0.0223 -0.5893
-0.5228 -0.0291 -0.0828 0.0223 -0.5893
-2.6363 -0.0496 -0.3714 0.0434 -3.0680
-0.5228 -0.0291 -0.0828 0.0223 -0.5893
-0.5228 -0.0291 -0.0828 0.0223 -0.5893
-0.5228 -0.0291 -0.0828 0.0223 -0.5893
-0.5228 -0.0291 -0.0828 0.0223 -0.5893
-2.9055 -0.0509 -0.4087 0.0447 -3.3813
-0.6184 -0.0311 -0.0978 0.0241 -0.6975
-0.6183 -0.0311 -0.0978 0.0241 -0.6975
-0.6183 -0.0311 -0.0978 0.0241 -0.6975
-0.6183 -0.0311 -0.0978 0.0241 -0.6974
-0.0949 -0.0136 -0.0140 0.0075 -0.1094
-2.9030 -0.0509 -0.4085 0.0447 -3.3785
-0.6177 -0.0311 -0.0978 0.0241 -0.6969
-0.6177 -0.0311 -0.0978 0.0241 -0.6968
-0.6177 -0.0311 -0.0978 0.0241 -0.6969
-0.6177 -0.0311 -0.0978 0.0241 -0.6968
-3.1870 -0.0522 -0.4476 0.0460 -3.7089
-0.7127 -0.0328 -0.1121 0.0256 -0.8048
-0.7127 -0.0328 -0.1122 0.0256 -0.8048
-0.7128 -0.0328 -0.1122 0.0256 -0.8048
-0.7127 -0.0328 -0.1121 0.0256 -0.8048
-0.1231 -0.0156 -0.0188 0.0091 -0.1413
-3.1870 -0.0522 -0.4476 0.0460 -3.7089
-0.7128 -0.0328 -0.1122 0.0256 -0.8048
-0.7127 -0.0328 -0.1121 0.0256 -0.8048
-0.7127 -0.0328 -0.1121 0.0256 -0.8048
-0.7127 -0.0328 -0.1121 0.0256 -0.8048
-0.1231 -0.0156 -0.0188 0.0091 -0.1413
-3.4701 -0.0534 -0.4868 0.0472 -4.0385
-0.8063 -0.0343 -0.1265 0.0270 -0.9105
-0.8125 -0.0344 -0.1273 0.0271 -0.9176
-0.8080 -0.0344 -0.1268 0.0270 -0.9124
-0.8097 -0.0344 -0.1269 0.0270 -0.9144
-0.1673 -0.0180 -0.0242 0.0110 -0.1919
-0.1675 -0.0180 -0.0242 0.0110 -0.1921
-3.4705 -0.0534 -0.4868 0.0472 -4.0389
-0.8055 -0.0343 -0.1264 0.0270 -0.9099
-0.8056 -0.0343 -0.1265 0.0270 -0.9100
-0.8053 -0.0343 -0.1264 0.0270 -0.9097
-0.8052 -0.0343 -0.1264 0.0270 -0.9095
-0.1546 -0.0175 -0.0246 0.0107 -0.1766
-3.7545 -0.0545 -0.5260 0.0482 -4.3691
-0.9129 -0.0359 -0.1423 0.0283 -1.0310
-0.9099 -0.0359 -0.1419 0.0283 -1.0277
-0.8984 -0.0357 -0.1407 0.0282 -1.0147
-0.9106 -0.0359 -0.1420 0.0283 -1.0284
-0.1995 -0.0195 -0.0296 0.0125 -0.2273
-0.1976 -0.0194 -0.0296 0.0124 -0.2245
-0.1976 -0.0194 -0.0296 0.0124 -0.2245
-3.7546 -0.0545 -0.5260 0.0482 -4.3693
-0.8978 -0.0357 -0.1405 0.0282 -1.0144
-0.8981 -0.0357 -0.1405 0.0282 -1.0148
-0.8979 -0.0357 -0.1405 0.0282 -1.0146
-0.8973 -0.0357 -0.1404 0.0282 -1.0138
