 FOD pos   |    FOC pos
 FOD           1  -2.1227081599999999E-002   2.0199999999999999E-008  -5.1835845600000000E-002   5.6013782967413529E-002
 FOC           1   1.8277134011415134E-004   1.4771327138334381E-005   1.2546753341674316E-004   2.2218383562768926E-004
 FOD           2   2.0278014888999998        2.6759999999999999E-006  0.20319274309999999        2.0379563707893058     
 FOC           2   1.2966287719680074        8.6103932906376795E-004 -0.16157011644477173        1.3066567323562703     
 FOD           3  -1.4420823478000000        2.0034920690000000       -1.1239467735999999        2.7123492249834111     
 FOC           3 -0.63640928956588139        1.1054234303177273      -0.19648187043684232        1.2905746276568129     
 FOD           4  -1.3420789987999999       -2.0034929343000001      -0.92393841379999997        2.5824062750282528     
 FOC           4 -0.63954382737825755       -1.1099022745200293      -0.19253601704712750        1.2953646143008295     
 FOD           5  0.48189559510000002        6.1619000000000002E-006   2.3108173073999998        2.3605296000673528     
 FOC           5  -2.1875470797321193E-002   4.3437908682487647E-003  0.58701305113769831       0.58743657270185479     
 FOD           6   2.0460913000000000E-003  -1.2820000000000000E-007 -0.22493410720000001       0.22494341304311508     
 FOC           6   1.8121814162311999E-005   1.0468115439609298E-005   1.7256285921028700E-014   2.0928009685356091E-005
 FOD           7   2.2063736253999999       -7.8019000000000006E-006  -2.7576139999999999E-004   2.2063736426466751     
 FOC           7   1.3877911073639295        9.8488812736891810E-003  -4.6272192106770520E-010   1.3878260547131780     
 FOD           8  -1.3030772440000000        2.0380448889000000       -2.0169360000000001E-004   2.4190157737564171     
 FOC           8 -0.69691574121305466        1.2003993963704724       -2.3456924619429768E-010   1.3880382779870071     
 FOD           9 -0.80308377470000003       -1.7380489776000001       -2.0162950000000000E-004   1.9146168907583734     
 FOC           9 -0.68965817209903202       -1.2082659063192500       -2.2962037178606383E-010   1.3912350249747369     
