        FOD-iter      E_cou(tot)          E_cou(Nup)            E_cou(Ndn)  
           1   566.60098781650470        118.75435208666235        71.840045954885014     
           2   566.86660907291252        118.54776693794545        71.368246405816649     
           3   506.97920766134763        116.16172796475105        58.416062849452032     
        FOD-iter      E_cou(tot)          E_cou(Nup)            E_cou(Ndn)  
           1   13835.115949995346        1068.9981796568882        219.47835488200027     
           2   12967.523088849321        737.37792183111844        181.86303014914299     
           3   12421.075307447414        1061.9122965151228        203.26352590611356     
           4   11725.893067316407        717.22064151363691        182.01332470944664     
           5   4481.2438660831149        721.00390642598006        196.38190549595723     
           6   3827.9020272147450        456.04862858437423        187.22696024210765     
