        FOD-iter      E_cou(tot)          E_cou(Nup)            E_cou(Ndn)  
           1   8.0355339059327395        8.0355339059327395        0.0000000000000000     
           2   7.7645017408075701        7.7645017408075701        0.0000000000000000     
           3   7.4571887588019639        7.4571887588019639        0.0000000000000000     
        FOD-iter      E_cou(tot)          E_cou(Nup)            E_cou(Ndn)  
           1   19.624813897556070        19.624813897556070        0.0000000000000000     
           2   19.454314241572156        19.454314241572156        0.0000000000000000     
           3   17.622256641543412        17.622256641543412        0.0000000000000000     
           4   17.486465109112185        17.486465109112185        0.0000000000000000     
           5   16.731612399889237        16.731612399889237        0.0000000000000000     
           6   16.632255181853981        16.632255181853981        0.0000000000000000     
